year,month,hou,首迁期,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2013,7,4,2013-07-20,2,242,244,28.3275058746338,24.4024997711182,20.4475086212158,-0.0372269868850708,-0.0403021335601807,-0.0220394849777222,92.5125152587891,90.7250152587891,82.3750152587891,3.23114796756777,4.70201407051365,7.77676301645404,160.671751287467,171.496177021778,192.676872151556,6,7,7
2013,7,5,2013-06-20,8,1085,1093,28.6462589263916,24.7987613677979,20.8337574005127,0.0033604383468627,0.00574791431427,0.0442104339599609,88.7250152587891,86.4500152587891,75.6375152587891,3.22722809797292,4.78525898422727,8.50114139436691,150.527777565562,155.029722807661,176.888459056257,6,6,7
2013,7,6,2013-06-20,26,1969,1995,28.6656322479248,24.7531286875407,20.9229234059652,-0.0142832001050313,-0.0188249548276265,0.0028729438781738,90.0625152587891,88.5833485921224,77.6458485921224,2.84795878641356,4.31646068113996,6.8677170378612,148.745663865497,161.083576016539,177.764107335984,6,6,7
2013,8,1,2013-06-20,35,1029,1064,28.5387531280518,24.5762500762939,20.6075107574463,-0.0097894430160522,-0.0073394775390625,0.0116479396820068,89.0625152587891,86.8500152587891,76.3375152587891,3.08967971274033,4.74449937429422,8.62929847465057,130.846461483775,146.573728439139,167.713846194661,5,6,7
2013,8,2,2013-07-20,2,139,141,28.4325092315674,24.7475070953369,21.0875080108643,0.0214605331420898,0.0303478717803955,0.0799604415893555,87.3125152587891,83.4500152587891,69.3500144958496,2.91637752511288,4.53444763315824,8.28298145404881,182.794441729986,192.088362368043,202.243777265833,7,7,8
2013,8,3,2013-05-20,0,1245,1245,28.9075092315674,25.328755569458,21.8125064849854,0.0269855260848999,0.0271729469299316,0.0163980484008789,87.6375152587891,83.0125152587891,65.650013923645,2.8362611916291,3.56466444825741,5.3369874367597,112.240939543483,117.718153341481,131.766802169362,5,5,5
2013,8,4,2013-02-20,5,1848,1853,27.5862552642822,23.5437549591064,19.722505569458,0.0149980545043945,-0.013401985168457,-0.095352029800415,95.4375152587891,94.5000152587891,88.8875152587891,4.24251412252594,4.66837528346131,7.38094426788946,20.9454995596911,33.1879242654515,57.0698289147372,2,2,3
2013,8,5,2013-07-20,28,4362,4390,28.2700061798096,24.4300006866455,20.5000064849854,0.014385461807251,0.0037604808807373,-0.0422271490097046,93.0875152587891,91.4125152587891,83.9625152587891,2.91910934475395,3.9303599182977,7.29381895861868,172.011287050135,193.089882409403,73.095880291714,7,7,3
2013,8,6,2013-06-20,94,17208,17302,28.2291736602783,24.4635486602783,20.6979236602783,-0.0123249292373657,-0.0151477853457133,-0.0068249106407165,92.0104319254557,87.9166819254557,72.8333485921224,1.99213093865421,2.79744219319702,4.11018129837818,151.030709028473,150.970837099395,172.912246934774,6,6,7
2013,9,1,2013-03-20,42,19620,19662,23.460005569458,19.1775119781494,15.3375019073486,-0.0284894943237305,-0.0623645067214966,-0.109589576721191,98.2875152587891,97.8250152587891,95.7750152587891,3.95824400646636,4.57617366191361,4.90477082201286,110.430747756364,53.7887987521329,94.220026507468,5,3,4
